url,title,locality,type,deal,kind,proposed_action,reason,review_note,price,area,beds,photos,locality_slug,slug
https://cityprop.co.in/property/one-49-ambli/,"3 & 4 BHK + Penthouse Flats for Sale · One 49, Ambli",Ambli,apartment,sale,project,keep,tagged New project,project outside Shantigram (Ambli and similar),Price on request,,3,1,ambli,one-49-ambli
https://cityprop.co.in/property/aaryan-opulence-ambli/,"3 & 4 BHK Flats for Sale · Aaryan Opulence, Ambli",Ambli,apartment,sale,project,keep,tagged New project,project outside Shantigram (Ambli and similar),Price on request,,3,2,ambli,aaryan-opulence-ambli
https://cityprop.co.in/property/jaldeep-vertex-ambli/,"3 & 4 BHK Flats for Sale · Jaldeep Vertex, Ambli",Ambli,apartment,sale,project,keep,tagged New project,project outside Shantigram (Ambli and similar),Price on request,,3,2,ambli,jaldeep-vertex-ambli
https://cityprop.co.in/property/surya-emerald-ambli/,"3 & 4 BHK Flats for Sale · Surya Emerald, Ambli",Ambli,apartment,sale,project,keep,tagged New project,project outside Shantigram (Ambli and similar),Price on request,,3,2,ambli,surya-emerald-ambli
https://cityprop.co.in/property/belvista-apartments-ambli/,"3 BHK Flats for Sale · Belvista Apartments, Ambli",Ambli,apartment,sale,project,keep,tagged New project,project outside Shantigram (Ambli and similar),Price on request,,3,4,ambli,belvista-apartments-ambli
https://cityprop.co.in/property/splendora-1-ambli/,"3 BHK Flats for Sale · Splendora 1, Ambli",Ambli,apartment,sale,project,keep,tagged New project,project outside Shantigram (Ambli and similar),Around ₹2.15 Cr,,3,2,ambli,splendora-1-ambli
https://cityprop.co.in/property/sukrut-repose-ambli/,"3 BHK Flats for Sale · Sukrut Repose, Ambli",Ambli,apartment,sale,project,keep,tagged New project,project outside Shantigram (Ambli and similar),Price on request,,3,2,ambli,sukrut-repose-ambli
https://cityprop.co.in/property/iscon-vogue-ambli/,"4 & 5 BHK + Penthouse Flats for Sale · ISCON Vogue, Ambli",Ambli,apartment,sale,project,keep,tagged New project,project outside Shantigram (Ambli and similar),₹4.8 to 5.5 Cr,,4,2,ambli,iscon-vogue-ambli
https://cityprop.co.in/property/satyamev-luxor-ambli/,"4 & 5 BHK + Penthouse Flats for Sale · Satyamev Luxor, Ambli",Ambli,apartment,sale,project,keep,tagged New project,project outside Shantigram (Ambli and similar),₹2.8 to 2.9 Cr,,4,2,ambli,satyamev-luxor-ambli
https://cityprop.co.in/property/sun-the-kimana-towers-ambli/,"4 & 5 BHK + Penthouse Flats for Sale · Sun The Kimana Towers, Ambli",Ambli,apartment,sale,project,keep,tagged New project,project outside Shantigram (Ambli and similar),₹5.7 to 7.7 Cr,,4,2,ambli,sun-the-kimana-towers-ambli
https://cityprop.co.in/property/westland-by-good-value-ambli/,"4 & 5 BHK + Penthouse Flats for Sale · Westland by Good Value, Ambli",Ambli,apartment,sale,project,keep,tagged New project,project outside Shantigram (Ambli and similar),₹10.6 to 12.2 Cr,,4,2,ambli,westland-by-good-value-ambli
https://cityprop.co.in/property/maruti-360-ambli/,"4 & 5 BHK Duplex + Penthouse Flats for Sale · Maruti 360, Ambli",Ambli,apartment,sale,project,keep,tagged New project,project outside Shantigram (Ambli and similar),₹6 to 8.1 Cr,,4,2,ambli,maruti-360-ambli
